File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\TestClass.java,16,5,4,0,3,0,8,19,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\database\Database.java,103,86,58,11,17,5,0,7,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\database\DatabaseInterface.java,19,15,14,0,4,0,0,0,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\inventory\Game.java,47,32,15,5,15,1,0,3,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\inventory\Item.java,165,127,71,17,38,4,0,26,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\inventory\Movie.java,66,48,23,7,18,1,0,3,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\inventory\Price.java,115,105,50,20,10,7,0,63,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\inventory\Product.java,72,58,39,5,14,0,0,0,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\paymentAPI\Payment.java,15,9,6,2,5,0,1,4,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\rentable\Rentable.java,7,4,3,0,3,0,0,0,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\Rental\Rental.java,54,39,22,5,11,4,4,26,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\sales\Sale.java,6,3,2,0,3,0,0,0,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\staff\Manager.java,12,7,5,0,5,0,0,0,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\staff\StaffMember.java,14,9,7,0,5,0,0,0,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\BasketPanel.java,140,111,76,7,18,3,11,63,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\BillPanel.java,59,38,28,1,12,0,9,37,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\CustomerPanel.java,124,100,80,1,10,0,14,56,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\Helper.java,154,121,75,22,33,0,0,0,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\LoginPanel.java,95,70,56,5,11,0,14,55,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\MainWindow.java,55,39,26,1,11,0,5,37,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\Observer.java,17,5,3,0,3,0,9,37,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\Panel.java,31,20,12,0,6,0,5,31,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\PanelFactory.java,55,41,30,9,4,0,10,40,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\PanelManager.java,62,42,23,1,11,0,9,37,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\RentPanel.java,107,82,61,3,14,6,11,84,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\SearchPanel.java,144,110,81,4,17,5,17,89,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\StartUI.java,28,13,11,0,2,0,13,62,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\Subject.java,19,8,7,0,2,0,9,37,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface\TopUpPanel.java,93,68,54,1,12,0,13,54,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\users\Customer.java,154,124,79,17,28,9,2,60,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\users\GoldCustomer.java,27,12,8,1,6,0,9,37,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\users\PlatniumCustomer.java,27,12,8,1,6,0,9,37,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\users\SilverCustomer.java,25,12,8,1,4,0,9,37,5,31
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\users\User.java,20,14,10,2,6,0,0,0,0,0
