Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,34,2147,1589,1055,149,367,45,191,1041,80,496
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest,34,2147,1589,1055,149,367,45,191,1041,80,496
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src,34,2147,1589,1055,149,367,45,191,1041,80,496
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\Rental,1,54,39,22,5,11,4,4,26,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\database,2,122,101,72,11,21,5,0,7,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\inventory,5,465,370,198,54,95,13,0,95,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\paymentAPI,1,15,9,6,2,5,0,1,4,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\rentable,1,7,4,3,0,3,0,0,0,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\sales,1,6,3,2,0,3,0,0,0,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\staff,2,26,16,12,0,10,0,0,0,0,0
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\userInterface,15,1183,868,623,55,166,14,149,719,65,403
C:\Users\Kamil\Downloads\Desktop\RentalSystem Kamil\RentalSystem-guitest\src\users,5,253,174,113,22,50,9,29,171,15,93
